Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Adam,Final_Objective_Value,QQN-Bisection-1,-29.938555,0.001000,true,7.189175
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Adam,Computational_Cost,Adam,12.702316,0.001000,true,2.840324
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,L-BFGS-Aggressive,Final_Objective_Value,QQN-Bisection-1,-13.507441,0.001000,true,3.020356
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,L-BFGS-Aggressive,Computational_Cost,QQN-Bisection-1,-139.000456,0.001000,true,31.081447
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Trust Region-Conservative,Final_Objective_Value,QQN-Bisection-1,-41.816671,0.001000,true,9.682923
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Trust Region-Conservative,Computational_Cost,Trust Region-Conservative,44.075211,0.001000,true,13.835596
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,L-BFGS,Final_Objective_Value,QQN-Bisection-1,-6.804091,0.001000,true,1.931174
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,L-BFGS,Computational_Cost,-,-1.525436,0.100000,false,0.482022
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Trust Region-Adaptive,Final_Objective_Value,-,-1.571087,0.100000,false,0.496819
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Trust Region-Adaptive,Computational_Cost,Trust Region-Adaptive,44.898610,0.001000,true,14.116485
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,L-BFGS-Conservative,Final_Objective_Value,QQN-Bisection-1,-7.441879,0.001000,true,1.832727
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,L-BFGS-Conservative,Computational_Cost,QQN-Bisection-1,-30.374985,0.001000,true,8.364237
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Adam-Fast,Final_Objective_Value,Adam-Fast,4.219985,0.001000,true,0.943617
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Adam-Fast,Computational_Cost,Adam-Fast,37.855130,0.001000,true,8.464664
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Adam-WeightDecay,Final_Objective_Value,QQN-Bisection-1,-12.688383,0.001000,true,3.367536
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Adam-WeightDecay,Computational_Cost,Adam-WeightDecay,12.702316,0.001000,true,2.840324
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Trust Region-Standard,Final_Objective_Value,QQN-Bisection-1,-2.524073,0.010000,true,0.798134
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Trust Region-Standard,Computational_Cost,Trust Region-Standard,67.133503,0.001000,true,20.983630
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,GD-Nesterov,Final_Objective_Value,QQN-Bisection-1,-44.027035,0.001000,true,10.484962
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,GD-Nesterov,Computational_Cost,GD-Nesterov,418.020929,0.001000,true,95.367023
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,GD-WeightDecay,Final_Objective_Value,QQN-Bisection-1,-35.665358,0.001000,true,8.250072
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,GD-WeightDecay,Computational_Cost,QQN-Bisection-1,-138.722066,0.001000,true,31.019197
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Adam-AMSGrad,Final_Objective_Value,QQN-Bisection-1,-26.899165,0.001000,true,6.660969
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,Adam-AMSGrad,Computational_Cost,Adam-AMSGrad,12.702316,0.001000,true,2.840324
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,GD-Momentum,Final_Objective_Value,QQN-Bisection-1,-41.652030,0.001000,true,10.358725
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,GD-Momentum,Computational_Cost,GD-Momentum,426.002788,0.001000,true,96.262417
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,GD,Final_Objective_Value,QQN-Bisection-1,-41.944198,0.001000,true,9.379008
NeuralNetwork_100samples_layers_5_10_3,QQN-Bisection-1,GD,Computational_Cost,QQN-Bisection-1,-138.722066,0.001000,true,31.019197
