Problem,ProblemFamily,Dimension,Optimizer,MeanFinalValue,MeanFinalValueSuccess,MeanFinalValueFail,StdFinalValue,BestValue,WorstValue,MeanIterations,MeanFunctionEvals,MeanFunctionEvalsSuccess,MeanFunctionEvalsFail,MeanGradientEvals,MeanGradientEvalsSuccess,MeanGradientEvalsFail,MeanTime,SuccessRate,NumRuns
LogisticRegression_200samples_10features_reg0.01,ML Regression,10,Adam-AMSGrad,5.799891e-1,NaN,5.799891e-1,2.463297e-2,5.456058e-1,6.382134e-1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.328,0.000,20
LogisticRegression_200samples_10features_reg0.01,ML Regression,10,GD,5.745467e-1,NaN,5.745467e-1,1.795993e-2,5.281376e-1,6.127199e-1,332.0,335.0,NaN,335.0,668.0,NaN,668.0,0.332,0.000,40
LogisticRegression_200samples_10features_reg0.01,ML Regression,10,Trust Region-Adaptive,6.993033e-1,NaN,6.993033e-1,2.547699e-2,6.507794e-1,7.546607e-1,1.0,5.0,NaN,5.0,4.0,NaN,4.0,0.003,0.000,20
LogisticRegression_200samples_10features_reg0.01,ML Regression,10,QQN-Bisection-2,3.232535e-1,NaN,3.232535e-1,1.540015e-12,3.232535e-1,3.232535e-1,10.3,112.3,NaN,112.3,85.7,NaN,85.7,0.067,0.000,20
LogisticRegression_200samples_10features_reg0.01,ML Regression,10,QQN-CubicQuadraticInterpolation,3.232535e-1,NaN,3.232535e-1,2.487094e-12,3.232535e-1,3.232535e-1,11.9,177.6,NaN,177.6,238.7,NaN,238.7,0.143,0.000,40
LogisticRegression_200samples_10features_reg0.01,ML Regression,10,L-BFGS-Aggressive,3.244007e-1,NaN,3.244007e-1,9.272411e-4,3.232535e-1,3.262154e-1,66.3,622.6,NaN,622.6,203.2,NaN,203.2,0.259,0.000,40
LogisticRegression_200samples_10features_reg0.01,ML Regression,10,QQN-GoldenSection,3.232535e-1,NaN,3.232535e-1,2.352115e-12,3.232535e-1,3.232535e-1,11.7,365.6,NaN,365.6,67.4,NaN,67.4,0.140,0.000,60
LinearRegression_100samples_5features_reg0.01,ML Regression,5,Trust Region-Adaptive,1.387168e3,NaN,1.387168e3,8.087083e2,1.297717e-1,1.962579e3,77.5,235.4,NaN,235.4,157.1,NaN,157.1,0.062,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,Adam-WeightDecay,6.818041e0,NaN,6.818041e0,4.145537e-1,6.155623e0,7.761900e0,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.167,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,Trust Region-Standard,8.515395e1,NaN,8.515395e1,6.199296e1,2.871040e-1,1.687012e2,23.4,73.0,NaN,73.0,48.8,NaN,48.8,0.019,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,GD-Nesterov,9.143707e-1,NaN,9.143707e-1,3.261729e-2,8.320271e-1,9.581310e-1,20.9,23.9,NaN,23.9,43.7,NaN,43.7,0.012,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,L-BFGS-Aggressive,7.180503e-2,NaN,7.180503e-2,1.509841e-3,7.154664e-2,8.122984e-2,37.6,320.3,NaN,320.3,114.9,NaN,114.9,0.070,0.000,40
LinearRegression_100samples_5features_reg0.01,ML Regression,5,L-BFGS-Conservative,7.154665e-2,NaN,7.154665e-2,1.062473e-8,7.154664e-2,7.154668e-2,110.0,557.0,NaN,557.0,446.0,NaN,446.0,0.172,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,QQN-MoreThuente,7.154664e-2,NaN,7.154664e-2,4.482599e-10,7.154664e-2,7.154664e-2,11.2,89.7,NaN,89.7,81.8,NaN,81.8,0.031,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,GD-Momentum,1.359975e0,NaN,1.359975e0,3.396275e-2,1.308513e0,1.476735e0,21.1,24.1,NaN,24.1,44.1,NaN,44.1,0.012,0.000,20
LinearRegression_100samples_5features_reg0.01,ML Regression,5,Adam-AMSGrad,1.353002e1,NaN,1.353002e1,9.735895e-1,1.189002e1,1.512153e1,249.0,502.0,NaN,502.0,502.0,NaN,502.0,0.168,0.000,20
