Problem,QQN_Optimizer,NonQQN_Optimizer,Metric,Winner,Test_Statistic,P_Value,Significant,Effect_Size
Barrier_10D_mu0.1,QQN-MoreThuente,GD-WeightDecay,Computational_Cost,QQN-MoreThuente,-416.619622,0.001000,true,131.746692
Barrier_10D_mu0.1,QQN-MoreThuente,GD,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,GD,Computational_Cost,QQN-MoreThuente,-1119.689471,0.001000,true,250.370177
Barrier_10D_mu0.1,QQN-MoreThuente,L-BFGS,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-MoreThuente,L-BFGS,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-Bisection-2,Adam-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,GD-Nesterov,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,Trust Region-Adaptive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,Trust Region-Adaptive,Computational_Cost,QQN-Bisection-2,-39.710204,0.001000,true,12.557469
Barrier_10D_mu0.1,QQN-Bisection-2,Adam-Fast,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,Adam-Fast,Computational_Cost,QQN-Bisection-2,-207.317386,0.001000,true,46.357577
Barrier_10D_mu0.1,QQN-Bisection-2,Adam-AMSGrad,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,GD-Momentum,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,GD-Momentum,Computational_Cost,QQN-Bisection-2,-233.770920,0.001000,true,73.924856
Barrier_10D_mu0.1,QQN-Bisection-2,L-BFGS-Aggressive,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,L-BFGS-Aggressive,Computational_Cost,-,0.000000,1.000000,false,0.000000
Barrier_10D_mu0.1,QQN-Bisection-2,Trust Region-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,L-BFGS-Conservative,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,L-BFGS-Conservative,Computational_Cost,QQN-Bisection-2,-26.622423,0.001000,true,8.418749
Barrier_10D_mu0.1,QQN-Bisection-2,Adam,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,Trust Region-Standard,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,Trust Region-Standard,Computational_Cost,QQN-Bisection-2,-34.871192,0.001000,true,11.027239
Barrier_10D_mu0.1,QQN-Bisection-2,GD-WeightDecay,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,GD-WeightDecay,Computational_Cost,QQN-Bisection-2,-416.619622,0.001000,true,131.746692
Barrier_10D_mu0.1,QQN-Bisection-2,GD,Final_Objective_Value,-,NaN,0.500000,false,NaN
Barrier_10D_mu0.1,QQN-Bisection-2,GD,Computational_Cost,QQN-Bisection-2,-1119.689471,0.001000,true,250.370177
Barrier_10D_mu0.1,QQN-Bisection-2,L-BFGS,Final_Objective_Value,-,NaN,0.500000,false,NaN
